Position  CI values             ACGT counts Minimum number changes on tree
59        0.06666666666666667   53:0:36:0   15
60        0.2                   0:6:0:83    5
61        0.5                   3:0:86:0    2
62        0.14285714285714285   79:0:10:0   7
63        0.09090909090909091   0:15:0:74   11
72        0.08333333333333333   35:0:54:0   12
73        0.3333333333333333    3:0:86:0    3
74        0.09090909090909091   0:52:0:37   11
75        0.06666666666666667   70:0:19:0   15
76        0.5                   0:87:0:2    2
83        0.1                   0:41:0:48   10
89        0.1111111111111111    64:0:25:0   9
96        0.3333333333333333    0:84:5:0    3
97        0.5                   0:87:0:2    2
113       0.3333333333333333    3:0:86:0    3
114       0.3333333333333333    5:84:0:0    3
115       0.0625                39:0:50:0   16
118       0.1                   55:0:0:34   10
126       0.3333333333333333    3:0:86:0    3
128       0.0625                42:0:47:0   16
133       0.5                   0:87:0:2    2
135       0.3333333333333333    0:86:0:3    3
137       0.16666666666666666   0:8:0:81    6
151       0.06666666666666667   39:0:50:0   15
152       0.058823529411764705  44:0:45:0   17
153       0.0625                44:0:45:0   16
154       0.0625                44:0:45:0   16
155       0.06666666666666667   0:45:0:44   15
156       0.07142857142857142   44:0:45:0   14
158       0.0625                44:0:45:0   16
174       0.3333333333333333    0:15:0:74   3
180       0.09090909090909091   0:44:0:45   11
193       0.5                   0:87:0:2    2
197       0.5                   0:86:0:3    2
198       0.3333333333333333    3:0:86:0    3
199       0.2                   5:0:84:0    5
201       0.5                   0:87:0:2    2
205       0.14285714285714285   0:81:0:8    7
217       0.5                   2:0:87:0    2
218       0.3333333333333333    0:84:0:5    3
220       0.3333333333333333    3:0:86:0    3
225       0.2                   0:83:0:6    5
232       0.5                   0:87:0:2    2
243       0.25                  82:0:0:7    4
256       0.2                   8:0:81:0    5
263       0.5                   3:0:86:0    2
1109      0.5                   0:2:0:87    2
1110      0.5                   87:0:2:0    2
1111      0.5                   0:5:0:84    2
1112      0.3333333333333333    85:0:0:4    3
1344      0.047619047619047616  41:48:0:0   21
2760      0.5                   0:87:0:2    2
2762      0.043478260869565216  0:59:0:30   23
2838      0.03571428571428571   46:0:43:0   28
3245      0.5                   87:0:2:0    2
3247      0.25                  0:5:0:84    4
3254      0.25                  0:4:0:85    4
3255      0.3333333333333333    0:3:0:86    3
3264      0.5                   2:0:87:0    2
3265      0.047619047619047616  33:0:56:0   21
3635      0.5                   2:0:87:0    2
4656      0.5                   0:0:42:47   2
4819      0.5                   0:2:0:87    2
6098      0.3333333333333333    0:5:0:84    3
6486      0.5                   2:0:87:0    2
6925      0.0625                66:0:0:23   16
6931      0.5                   2:0:87:0    2
6932      0.5                   87:0:2:0    2
6933      0.3333333333333333    86:0:3:0    3
6934      0.5                   87:2:0:0    2
7023      0.07692307692307693   0:69:0:20   13
7035      0.058823529411764705  24:0:0:65   17
9833      0.3333333333333333    0:85:0:4    3
11473     0.25                  83:0:6:0    4
13314     0.5                   7:0:82:0    2
13839     0.14285714285714285   9:0:80:0    7
14177     0.08333333333333333   0:31:0:58   12
15026     0.3333333333333333    0:3:0:86    3
15059     0.5                   87:0:2:0    2
15060     0.16666666666666666   0:80:0:9    6
15061     0.14285714285714285   0:80:0:9    7
15062     0.25                  4:0:85:0    4
15063     0.25                  0:85:0:4    4
15064     0.3333333333333333    3:0:86:0    3
15065     0.16666666666666666   6:0:83:0    6
15069     0.3333333333333333    3:0:86:0    3
15273     0.5                   0:87:0:2    2
16581     0.5                   84:0:5:0    2
16627     0.16666666666666666   0:83:6:0    6
16629     0.16666666666666666   0:22:0:67   6
