Position	ConsistencyIndex	CountsACGT	MinimumNumberChangesOnTree
1	0.5	92:0:2:0	2
60	0.25	0:86:0:8	4
62	0.16666666666666666	11:0:83:0	6
65	0.1	0:64:0:30	10
73	0.2	7:0:87:0	5
75	0.25	90:0:4:0	4
76	0.5	0:91:0:3	2
79	0.5	0:2:0:92	2
81	0.5	2:0:92:0	2
85	0.5	2:0:92:0	2
86	0.5	2:0:92:0	2
87	0.5	0:92:0:2	2
89	0.5	2:0:92:0	2
110	0.08333333333333333	0:75:0:19	12
115	0.5	2:0:92:0	2
116	0.06666666666666667	30:0:64:0	15
118	0.3333333333333333	91:0:0:3	3
124	0.25	4:0:90:0	4
126	0.125	8:0:86:0	8
129	0.3333333333333333	4:0:90:0	3
130	0.1111111111111111	0:83:0:11	9
133	0.3333333333333333	0:90:0:4	3
135	0.3333333333333333	0:89:0:5	3
137	0.07142857142857142	0:20:0:74	14
140	0.5	0:92:2:0	2
159	0.037037037037037035	0:34:0:60	27
160	0.038461538461538464	0:39:0:55	26
167	0.1	0:78:0:16	10
174	0.09090909090909091	0:18:0:76	11
186	0.3333333333333333	0:91:0:3	3
189	0.25	0:88:0:6	4
197	0.125	0:81:0:13	8
198	0.3333333333333333	5:0:89:0	3
199	0.5	6:0:88:0	2
203	0.5	0:91:0:3	2
205	0.1111111111111111	0:45:0:49	9
206	0.5	0:91:0:3	2
210	0.5	91:0:3:0	2
211	0.5	0:0:91:3	2
215	0.2	0:86:0:8	5
216	0.5	2:0:92:0	2
220	0.5	4:0:90:0	2
237	0.16666666666666666	10:0:84:0	6
257	0.3333333333333333	3:0:91:0	3
262	0.3333333333333333	0:90:0:4	3
1344	0.09090909090909091	25:69:0:0	11
2651	0.25	8:86:0:0	4
2734	0.5	2:0:92:0	2
2835	0.030303030303030304	40:0:54:0	33
3245	0.2	89:0:5:0	5
3247	0.16666666666666666	0:10:0:84	6
3252	0.038461538461538464	38:0:56:0	26
3254	0.16666666666666666	0:6:0:88	6
3255	0.16666666666666666	0:6:0:88	6
3259	0.14285714285714285	85:0:9:0	7
3261	0.041666666666666664	42:0:52:0	24
3265	0.041666666666666664	36:0:58:0	24
3266	0.041666666666666664	0:54:0:40	24
3324	0.5	0:2:92:0	2
3657	0.25	0:12:0:82	4
4819	0.5	0:2:0:92	2
5295	0.5	0:91:0:3	2
6352	0.5	85:0:9:0	2
6476	0.3333333333333333	12:0:82:0	3
6918	0.5	0:92:0:2	2
6920	0.16666666666666666	0:88:0:6	6
6921	0.16666666666666666	0:88:0:6	6
6922	0.16666666666666666	0:88:0:6	6
6923	0.5	0:92:0:2	2
6925	0.08333333333333333	30:0:0:64	12
6931	0.3333333333333333	4:0:90:0	3
6932	0.5	90:0:4:0	2
6933	0.3333333333333333	89:0:5:0	3
6934	0.5	91:3:0:0	2
7023	0.07692307692307693	0:68:0:26	13
7035	0.09090909090909091	30:0:0:64	11
8332	0.5	0:25:0:69	2
9890	0.3333333333333333	0:88:0:6	3
10605	0.3333333333333333	25:0:69:0	3
11803	0.5	2:0:92:0	2
13172	0.5	5:0:89:0	2
13237	0.5	0:92:0:2	2
13578	0.5	0:2:0:92	2
14177	0.16666666666666666	0:6:0:88	6
15026	0.3333333333333333	0:83:0:11	3
15730	0.5	3:0:91:0	2
16009	0.5	0:92:0:2	2
16369	0.5	2:0:92:0	2
16370	0.5	0:92:0:2	2
16597	0.5	92:0:2:0	2
16598	0.25	4:0:90:0	4
16620	0.5	92:0:2:0	2
16630	0.5	92:2:0:0	2
