Position	ConsistencyIndex	CountsACGT	MinimumNumberChangesOnTree
59	0.06666666666666667	53:0:75:0	15
60	0.1111111111111111	0:38:0:90	9
61	0.5	3:0:125:0	2
62	0.1111111111111111	80:0:48:0	9
63	0.08333333333333333	0:54:0:74	12
65	0.5	0:119:0:9	2
72	0.08333333333333333	35:0:93:0	12
73	0.25	4:0:124:0	4
74	0.09090909090909091	0:91:0:37	11
75	0.058823529411764705	105:0:23:0	17
76	0.5	0:126:0:2	2
80	0.16666666666666666	12:0:116:0	6
83	0.1	0:80:0:48	10
89	0.08333333333333333	67:0:61:0	12
96	0.3333333333333333	0:123:5:0	3
97	0.5	0:126:0:2	2
110	0.3333333333333333	0:102:0:26	3
112	0.5	126:0:2:0	2
113	0.25	4:0:124:0	4
114	0.25	8:120:0:0	4
115	0.0625	39:0:89:0	16
116	0.25	12:0:116:0	4
118	0.1	94:0:0:34	10
126	0.3333333333333333	3:0:125:0	3
128	0.043478260869565216	56:0:72:0	23
133	0.3333333333333333	0:125:0:3	3
134	0.16666666666666666	6:0:122:0	6
135	0.2	0:123:0:5	5
136	0.2	0:118:0:10	5
137	0.08333333333333333	0:21:0:107	12
140	0.25	0:124:4:0	4
150	0.3333333333333333	3:125:0:0	3
151	0.05	67:0:61:0	20
152	0.045454545454545456	73:0:55:0	22
153	0.05263157894736842	75:0:53:0	19
154	0.05263157894736842	76:0:52:0	19
155	0.047619047619047616	0:55:0:73	21
156	0.05263157894736842	72:0:56:0	19
158	0.041666666666666664	71:0:57:0	24
159	0.5	0:125:0:3	2
166	0.5	0:126:0:2	2
167	0.3333333333333333	0:125:0:3	3
174	0.2	0:27:0:101	5
180	0.09090909090909091	0:83:0:45	11
185	0.3333333333333333	6:0:122:0	3
187	0.5	2:0:126:0	2
190	0.5	0:126:0:2	2
193	0.5	0:126:0:2	2
197	0.5	0:125:0:3	2
198	0.3333333333333333	3:0:125:0	3
199	0.16666666666666666	6:0:122:0	6
201	0.5	0:126:0:2	2
205	0.125	0:116:0:12	8
217	0.5	2:0:126:0	2
218	0.3333333333333333	0:123:0:5	3
220	0.3333333333333333	3:0:125:0	3
225	0.2	0:122:0:6	5
232	0.5	0:126:0:2	2
237	0.5	2:0:126:0	2
243	0.25	121:0:0:7	4
256	0.2	8:0:120:0	5
263	0.25	7:0:121:0	4
420	0.1111111111111111	11:0:117:0	9
474	0.25	0:95:0:33	4
475	0.3333333333333333	124:0:4:0	3
481	0.3333333333333333	0:0:96:32	3
1109	0.5	0:2:0:126	2
1110	0.5	126:0:2:0	2
1111	0.3333333333333333	0:20:0:108	3
1112	0.25	109:0:0:19	4
1344	0.03333333333333333	65:63:0:0	30
2734	0.16666666666666666	8:0:120:0	6
2759	0.5	0:0:123:5	2
2760	0.3333333333333333	0:122:0:6	3
2762	0.043478260869565216	0:98:0:30	23
2774	0.5	0:124:0:4	2
2838	0.034482758620689655	46:0:82:0	29
3174	0.3333333333333333	4:0:124:0	3
3175	0.3333333333333333	0:124:0:4	3
3244	0.3333333333333333	0:3:0:125	3
3245	0.3333333333333333	125:0:3:0	3
3247	0.2	0:6:0:122	5
3249	0.5	0:2:0:126	2
3250	0.5	0:0:126:2	2
3251	0.5	126:0:2:0	2
3252	0.14285714285714285	9:0:119:0	7
3254	0.125	0:11:0:117	8
3255	0.125	0:10:0:118	8
3259	0.14285714285714285	7:0:121:0	7
3261	0.16666666666666666	23:0:105:0	6
3264	0.5	2:0:126:0	2
3265	0.038461538461538464	41:0:87:0	26
3266	0.16666666666666666	0:110:0:18	6
3267	0.25	0:122:0:6	4
3268	0.25	122:0:0:6	4
3272	0.1	0:100:0:28	10
3273	0.125	25:0:103:0	8
3277	0.3333333333333333	0:3:0:125	3
3635	0.5	2:0:126:0	2
4656	0.5	0:0:81:47	2
4819	0.5	0:2:0:126	2
5639	0.5	84:44:0:0	2
5734	0.3333333333333333	124:4:0:0	3
5738	0.5	40:88:0:0	2
6098	0.3333333333333333	0:5:0:123	3
6486	0.5	2:0:126:0	2
6918	0.5	0:126:0:2	2
6925	0.058823529411764705	104:0:0:24	17
6926	0.5	126:0:2:0	2
6931	0.5	2:0:126:0	2
6932	0.5	126:0:2:0	2
6933	0.25	124:0:4:0	4
6934	0.5	126:2:0:0	2
7023	0.058823529411764705	0:99:0:29	17
7035	0.045454545454545456	33:0:0:95	22
7039	0.5	0:126:0:2	2
7043	0.5	2:0:126:0	2
7308	0.5	9:0:119:0	2
7788	0.5	3:0:125:0	2
9833	0.3333333333333333	0:124:0:4	3
11473	0.25	122:0:6:0	4
11494	0.5	114:0:14:0	2
11768	0.3333333333333333	3:0:0:125	3
12122	0.5	97:0:31:0	2
13314	0.5	7:0:121:0	2
13839	0.09090909090909091	21:0:107:0	11
14177	0.08333333333333333	0:31:0:97	12
15026	0.3333333333333333	0:3:0:125	3
15059	0.16666666666666666	119:0:9:0	6
15060	0.16666666666666666	0:119:0:9	6
15061	0.14285714285714285	0:119:0:9	7
15062	0.25	4:0:124:0	4
15063	0.25	0:124:0:4	4
15064	0.3333333333333333	3:0:125:0	3
15065	0.125	8:0:120:0	8
15066	0.14285714285714285	12:0:116:0	7
15067	0.14285714285714285	0:34:0:94	7
15068	0.1111111111111111	34:0:94:0	9
15069	0.1	13:0:115:0	10
15273	0.5	0:126:0:2	2
16581	0.5	123:0:5:0	2
16598	0.5	2:0:126:0	2
16627	0.125	0:116:12:0	8
16629	0.125	0:29:0:99	8
16630	0.1111111111111111	100:28:0:0	9
