
Position	ConsistencyIndex	CountsACGT	MinimumNumberChangesOnTree
60	0.3333333333333333	0:32:0:7	3
65	0.5	0:30:0:9	2
75	0.5	35:0:4:0	2
80	0.2	10:0:29:0	5
89	0.5	3:0:36:0	2
110	0.3333333333333333	0:13:0:26	3
116	0.25	12:0:27:0	4
128	0.14285714285714285	14:0:25:0	7
134	0.16666666666666666	6:0:33:0	6
135	0.5	0:37:0:2	2
136	0.2	0:29:0:10	5
137	0.16666666666666666	0:13:0:26	6
140	0.25	0:35:4:0	4
150	0.3333333333333333	3:36:0:0	3
151	0.25	28:0:11:0	4
152	0.25	29:0:10:0	4
153	0.5	31:0:8:0	2
154	0.5	32:0:7:0	2
155	0.2	0:10:0:29	5
156	0.2	28:0:11:0	5
158	0.14285714285714285	27:0:12:0	7
166	0.5	0:37:0:2	2
167	0.3333333333333333	0:36:0:3	3
174	0.3333333333333333	0:12:0:27	3
185	0.3333333333333333	6:0:33:0	3
190	0.5	0:37:0:2	2
263	0.5	4:0:35:0	2
420	0.1111111111111111	11:0:28:0	9
474	0.3333333333333333	0:6:0:33	3
475	0.3333333333333333	35:0:4:0	3
481	0.5	0:0:7:32	2
1344	0.125	24:15:0:0	8
2734	0.2	7:0:32:0	5
2774	0.5	0:35:0:4	2
3174	0.3333333333333333	4:0:35:0	3
3175	0.3333333333333333	0:35:0:4	3
3244	0.3333333333333333	0:3:0:36	3
3249	0.5	0:2:0:37	2
3250	0.5	0:0:37:2	2
3251	0.5	37:0:2:0	2
3252	0.14285714285714285	9:0:30:0	7
3254	0.25	0:7:0:32	4
3255	0.2	0:7:0:32	5
3259	0.14285714285714285	7:0:32:0	7
3261	0.14285714285714285	23:0:16:0	7
3265	0.2	8:0:31:0	5
3266	0.2	0:22:0:17	5
3267	0.3333333333333333	0:34:0:5	3
3268	0.3333333333333333	34:0:0:5	3
3272	0.1	0:11:0:28	10
3273	0.125	25:0:14:0	8
3277	0.5	0:2:0:37	2
5734	0.3333333333333333	35:4:0:0	3
6918	0.5	0:37:0:2	2
6926	0.5	37:0:2:0	2
7023	0.25	0:30:0:9	4
7035	0.2	9:0:0:30	5
11768	0.3333333333333333	3:0:0:36	3
13839	0.25	12:0:27:0	4
15059	0.25	32:0:7:0	4
15065	0.5	2:0:37:0	2
15066	0.16666666666666666	10:0:29:0	6
15067	0.2	0:31:0:8	5
15068	0.14285714285714285	31:0:8:0	7
15069	0.14285714285714285	10:0:29:0	7
16598	0.5	2:0:37:0	2
16627	0.5	0:33:6:0	2
16629	0.5	0:7:0:32	2
16630	0.5	33:6:0:0	2
